"mdf_thickness","mm","8 mm",""
"wheel_distance","mm","( 762 / 1.5 ) * 1 mm + 50 mm",""
"wheel_diameter","mm","165.1 mm",""
"wheel_curcumference","mm","wheel_diameter * PI",""
"base_depth","mm","150 mm",""
"laptop_w","mm","333 mm",""
"laptop_h","mm","248 mm",""
"laptop_d","mm","244 mm",""
"wheel_centre_to_farside_mount","mm","74.562 mm",""
"wheel_mount_to_wall_clearence","mm","30 mm",""
"base_tab_length","mm","35 mm",""
"robot_height","mm","1000 mm",""
"d57","mm","wheel_distance - ( wheel_centre_to_farside_mount * 2 ) + 80.8 mm",""
"d58","mm","base_depth",""
"d43","mm","mdf_thickness",""
"d44","deg","0.0 deg",""
"d53","deg","180.0 deg",""
"d54","mm","0.00 mm",""
"d55","mm","0.00 mm",""
"d56","mm","wheel_distance - ( 2 * wheel_centre_to_farside_mount )",""
"d72","mm","40.4 mm + wheel_mount_to_wall_clearence",""
"d73","mm","mdf_thickness",""
"d75","mm","base_tab_length",""
"d76","mm","base_tab_length",""
"d100","mm","base_tab_length",""
"d101","mm","( base_depth - ( base_tab_length * 3 ) ) / 2",""
"d59","mm","-45.00 mm",""
"d60","deg","0.0 deg",""
"d61","mm","-93.00 mm",""
"d62","deg","0.0 deg",""
"d63","mm","laptop_w",""
"d64","mm","laptop_d",""
"d65","mm","8 mm",""
"d66","mm","25 mm",""
"d67","mm","15 mm",""
"d68","deg","0.0 deg",""
"d69","mm","laptop_h",""
"d70","deg","0.0 deg",""
"d77","mm","robot_height",""
"d78","deg","0.0 deg",""
"d79","mm","0.00 mm",""
"d80","deg","0.0 deg",""
"d85","mm","0.00 mm",""
"d86","deg","0.0 deg",""
"d87","mm","0.00 mm",""
"d88","deg","0.0 deg",""
"d89","mm","38.077 mm",""
"d90","deg","0.0 deg",""
"d91","mm","38.077 mm",""
"d92","deg","0.0 deg",""
"d94","mm","robot_height - ( robot_height * 3 / 4 )",""
"d95","mm","8 mm",""
"d96","mm","( base_tab_length * 3 ) / 8",""
"d97","mm","( base_tab_length * 3 ) / 4",""
"d98","mm","( base_tab_length * 3 ) / 4",""
"d99","mm","( base_tab_length * 3 ) / 4",""
"d102","mm","( base_tab_length * 3 ) / 8",""
"d103","deg","0.0 deg",""
"d104","mm","0.00 mm",""
"d105","mm","0.00 mm",""
"d106","deg","0.0 deg",""
"d107","mm","26.25 mm",""
"d108","deg","0.0 deg",""
"d109","mm","0.00 mm",""
"d110","deg","0.0 deg",""
"d111","mm","0.00 mm",""
"d112","deg","0.0 deg",""
"d113","mm","200 mm",""
"d114","mm","47 mm",""
"d117","mm","-8.00 mm",""
"d118","deg","0.0 deg",""
"d139","mm","0.00 mm",""
"d140","mm","0.00 mm",""
"d141","mm","0.00 mm",""
"d142","deg","0.0 deg",""
"d147","deg","180.0 deg",""
"d148","mm","0.00 mm",""
"d149","mm","50.00 mm",""
"d150","mm","0.00 mm",""
